DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-10-22 09:00:00,13.6 °C,8.6 °C,—,0 mm,9 km/h,—,1032.8 hPa,72 %
2024-10-22 10:00:00,17 °C,8.9 °C,—,0 mm,17 km/h,—,1032 hPa,59 %
2024-10-22 11:00:00,18 °C,8 °C,—,0 mm,17 km/h,—,1032 hPa,52 %
2024-10-21 06:00:00,11.7 °C,7.2 °C,—,0 mm,13 km/h,—,1032.2 hPa,74 %
2024-10-21 07:00:00,11 °C,5.9 °C,—,0 mm,13 km/h,20.4 km/h,1032 hPa,71 %
2024-10-21 08:00:00,14 °C,6.1 °C,—,0 mm,17 km/h,—,1033 hPa,59 %
2024-10-21 09:00:00,13.5 °C,6.1 °C,—,0 mm,17 km/h,—,1033.3 hPa,61 %
2024-10-21 10:00:00,16 °C,6.1 °C,—,0 mm,20 km/h,—,1033 hPa,52 %
2024-10-21 11:00:00,16 °C,6.1 °C,—,0 mm,19 km/h,—,1033 hPa,52 %
2024-10-20 06:00:00,10.2 °C,5.4 °C,—,0 mm,5 km/h,—,1027.9 hPa,72 %
2024-10-20 07:00:00,10 °C,5 °C,—,0 mm,4 km/h,16.7 km/h,1028 hPa,71 %
2024-10-20 08:00:00,12 °C,7.1 °C,—,0 mm,7 km/h,—,1028 hPa,72 %
2024-10-20 09:00:00,12.1 °C,6.8 °C,—,0 mm,8 km/h,—,1028.9 hPa,70 %
2024-10-20 10:00:00,15 °C,8.9 °C,—,0 mm,13 km/h,—,1029 hPa,67 %
2024-10-20 11:00:00,16 °C,8 °C,—,0 mm,20 km/h,—,1029 hPa,59 %
2024-10-19 06:00:00,12 °C,7.5 °C,—,0 mm,8 km/h,—,1024.6 hPa,74 %
2024-10-19 07:00:00,12 °C,6.1 °C,—,0 mm,11 km/h,16.7 km/h,1025 hPa,67 %
2024-10-19 08:00:00,13 °C,6.1 °C,—,0 mm,13 km/h,—,1025 hPa,63 %
2024-10-19 09:00:00,13.2 °C,6.1 °C,—,0 mm,13 km/h,—,1025.8 hPa,62 %
2024-10-19 10:00:00,16 °C,5 °C,—,0 mm,13 km/h,—,1026 hPa,48 %
2024-10-19 11:00:00,15 °C,4.1 °C,—,0 mm,15 km/h,—,1026 hPa,48 %
2024-10-18 06:00:00,13 °C,8.7 °C,—,0 mm,5 km/h,—,1025.9 hPa,75 %
2024-10-18 07:00:00,13 °C,8.1 °C,—,0 mm,22 km/h,18.5 km/h,1026 hPa,72 %
2024-10-18 08:00:00,13 °C,8.1 °C,—,0 mm,17 km/h,—,1026 hPa,72 %
2024-10-18 09:00:00,13 °C,7.4 °C,—,0 mm,17 km/h,—,1026.8 hPa,69 %
2024-10-18 10:00:00,15 °C,4.9 °C,—,0 mm,24 km/h,—,1026 hPa,51 %
2024-10-18 11:00:00,16 °C,5 °C,—,0 mm,20 km/h,—,1026 hPa,48 %
2024-10-17 06:00:00,15.2 °C,8.7 °C,—,0 mm,18 km/h,—,1025.3 hPa,65 %
2024-10-17 07:00:00,14 °C,10 °C,—,0 mm,22 km/h,31.5 km/h,1025 hPa,77 %
2024-10-17 08:00:00,14 °C,10 °C,—,0 mm,20 km/h,—,1026 hPa,77 %
2024-10-17 09:00:00,14.2 °C,9.4 °C,—,0 mm,21 km/h,—,1026.3 hPa,73 %
2024-10-17 10:00:00,17 °C,5.9 °C,—,0 mm,37 km/h,—,1026 hPa,48 %
2024-10-17 11:00:00,17 °C,5.9 °C,—,0 mm,41 km/h,—,1027 hPa,48 %
2024-10-16 06:00:00,15.1 °C,13.6 °C,—,0 mm,11 km/h,—,1020.4 hPa,91 %
2024-10-16 07:00:00,16 °C,14 °C,—,0 mm,9 km/h,14.8 km/h,1021 hPa,88 %
2024-10-16 08:00:00,18 °C,15.1 °C,—,0 mm,13 km/h,—,1021 hPa,83 %
2024-10-16 09:00:00,17.5 °C,14.8 °C,—,0 mm,13 km/h,—,1021.9 hPa,84 %
2024-10-16 10:00:00,20 °C,13.9 °C,—,0 mm,20 km/h,—,1022 hPa,68 %
2024-10-16 11:00:00,20 °C,13 °C,—,0 mm,26 km/h,—,1022 hPa,64 %
2024-10-15 06:00:00,14.2 °C,12.1 °C,—,0 mm,13 km/h,—,1018 hPa,87 %
2024-10-15 07:00:00,15 °C,12 °C,—,0 mm,11 km/h,22.2 km/h,1019 hPa,82 %
2024-10-15 08:00:00,17 °C,11.9 °C,—,0 mm,13 km/h,—,1019 hPa,72 %
2024-10-15 09:00:00,17.2 °C,12.3 °C,—,0 mm,13 km/h,—,1019.6 hPa,73 %
2024-10-15 10:00:00,20 °C,12 °C,—,0 mm,19 km/h,—,1019 hPa,60 %
2024-10-15 11:00:00,22 °C,11.1 °C,—,0 mm,17 km/h,—,1019 hPa,50 %
2024-10-14 06:00:00,14 °C,11.9 °C,—,0 mm,8 km/h,—,1017.2 hPa,87 %
2024-10-14 07:00:00,15 °C,12 °C,—,0 mm,9 km/h,14.8 km/h,1017 hPa,82 %
2024-10-14 08:00:00,16 °C,12.9 °C,—,0 mm,7 km/h,—,1018 hPa,82 %
2024-10-14 09:00:00,16.4 °C,13.1 °C,—,0 mm,8 km/h,—,1018.3 hPa,81 %
2024-10-14 10:00:00,19 °C,13 °C,—,0 mm,13 km/h,—,1018 hPa,68 %
2024-10-14 11:00:00,19 °C,12 °C,—,0 mm,11 km/h,—,1018 hPa,64 %
2024-10-13 06:00:00,16.6 °C,14.1 °C,—,0 mm,17 km/h,—,1018 hPa,85 %
2024-10-13 07:00:00,17 °C,12.9 °C,—,0 mm,19 km/h,29.6 km/h,1018 hPa,77 %
2024-10-13 08:00:00,17 °C,12.9 °C,—,0 mm,20 km/h,—,1018 hPa,77 %
2024-10-13 09:00:00,17.1 °C,12.8 °C,—,0 mm,21 km/h,—,1018.6 hPa,76 %
2024-10-13 10:00:00,19 °C,13 °C,—,0 mm,22 km/h,—,1019 hPa,68 %
2024-10-13 11:00:00,19 °C,13 °C,—,0 mm,20 km/h,—,1019 hPa,68 %
2024-10-12 06:00:00,20.5 °C,15.7 °C,—,0 mm,4 km/h,—,1009.9 hPa,74 %
2024-10-12 07:00:00,21 °C,16 °C,—,0 mm,7 km/h,13 km/h,1011 hPa,73 %
2024-10-12 08:00:00,22 °C,16.9 °C,—,0 mm,19 km/h,—,1011 hPa,73 %
2024-10-12 09:00:00,21.6 °C,17 °C,—,0 mm,26 km/h,—,1011.7 hPa,75 %
2024-10-12 10:00:00,22 °C,16.1 °C,—,0 mm,30 km/h,—,1013 hPa,69 %
2024-10-12 11:00:00,22 °C,16.1 °C,—,0 mm,28 km/h,—,1013 hPa,69 %
2024-10-11 06:00:00,20.9 °C,18.3 °C,—,0 mm,8 km/h,—,1009.3 hPa,85 %
2024-10-11 07:00:00,22 °C,19 °C,—,0 mm,15 km/h,18.5 km/h,1010 hPa,83 %
2024-10-11 08:00:00,22 °C,19 °C,—,0 mm,19 km/h,—,1010 hPa,83 %
2024-10-11 09:00:00,22.3 °C,18.9 °C,—,0 mm,18 km/h,—,1010.2 hPa,81 %
2024-10-11 10:00:00,24 °C,18 °C,—,0 mm,32 km/h,—,1015 hPa,69 %
2024-10-11 11:00:00,24 °C,18 °C,—,0 mm,19 km/h,—,1011 hPa,69 %
2024-10-10 06:00:00,21.3 °C,17.9 °C,—,0 mm,11 km/h,—,1011.1 hPa,81 %
2024-10-10 07:00:00,22 °C,16.9 °C,—,0 mm,11 km/h,20.4 km/h,1011 hPa,73 %
2024-10-10 08:00:00,22 °C,16.9 °C,—,0 mm,15 km/h,—,1011 hPa,73 %
2024-10-10 09:00:00,21.7 °C,16.9 °C,—,0 mm,15 km/h,—,1010.9 hPa,74 %
2024-10-10 10:00:00,23 °C,16.1 °C,—,0 mm,19 km/h,—,1011 hPa,65 %
2024-10-10 11:00:00,24 °C,16 °C,—,0 mm,22 km/h,—,1011 hPa,61 %
2024-10-09 06:00:00,16.2 °C,11.6 °C,—,0 mm,4 km/h,—,1015 hPa,74 %
2024-10-09 07:00:00,16 °C,12 °C,—,0 mm,6 km/h,9.3 km/h,1014 hPa,77 %
2024-10-09 08:00:00,20 °C,13.9 °C,—,0 mm,4 km/h,—,1014 hPa,68 %
2024-10-09 09:00:00,20.1 °C,14.2 °C,—,0 mm,4 km/h,—,1014.8 hPa,69 %
