DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2023-08-11 13:00:00,28 °C,16 °C,—,0 mm,29.5 km/h,—,1017 hPa,48 %
2023-08-11 14:00:00,28 °C,15 °C,—,0 mm,31.7 km/h,—,1017 hPa,45 %
2023-08-11 15:00:00,28 °C,13.1 °C,—,0 mm,31.3 km/h,—,1017.6 hPa,40 %
2023-08-11 16:00:00,29 °C,14 °C,—,0 mm,27.7 km/h,—,1018 hPa,40 %
2023-08-11 17:00:00,26 °C,13.2 °C,—,0 mm,27.7 km/h,—,1018 hPa,45 %
2023-08-10 12:00:00,24.7 °C,17.4 °C,—,0 mm,18.4 km/h,—,1013.4 hPa,64 %
2023-08-10 13:00:00,25 °C,18 °C,—,0 mm,14.8 km/h,—,1013 hPa,65 %
2023-08-10 14:00:00,25 °C,18 °C,—,0 mm,16.6 km/h,—,1013 hPa,65 %
2023-08-10 15:00:00,25.5 °C,18.7 °C,—,0 mm,20.5 km/h,—,1013.1 hPa,66 %
2023-08-10 16:00:00,27 °C,19.1 °C,—,0 mm,24.1 km/h,—,1012 hPa,62 %
2023-08-10 17:00:00,27 °C,19.1 °C,—,0 mm,22.3 km/h,—,1012 hPa,62 %
2023-08-09 12:00:00,24.6 °C,16.1 °C,—,0 mm,35.3 km/h,—,1015 hPa,59 %
2023-08-09 13:00:00,25 °C,15.9 °C,—,0 mm,40.7 km/h,—,1014 hPa,57 %
2023-08-09 14:00:00,25 °C,15.9 °C,—,0 mm,38.9 km/h,—,1014 hPa,57 %
2023-08-09 15:00:00,25 °C,15.3 °C,—,0 mm,33.5 km/h,—,1014.6 hPa,55 %
2023-08-09 16:00:00,24 °C,16 °C,—,0 mm,33.5 km/h,—,1014 hPa,61 %
2023-08-09 17:00:00,24 °C,16 °C,—,0 mm,37.1 km/h,—,1014 hPa,61 %
2023-08-08 12:00:00,27.6 °C,17.5 °C,—,0 mm,37.1 km/h,—,1011.7 hPa,54 %
2023-08-08 13:00:00,27 °C,18 °C,—,0 mm,40.7 km/h,—,1012 hPa,58 %
2023-08-08 14:00:00,27 °C,16.9 °C,—,0 mm,46.4 km/h,—,1013 hPa,54 %
2023-08-08 15:00:00,26.5 °C,16.1 °C,—,0 mm,48.2 km/h,—,1013 hPa,53 %
2023-08-08 16:00:00,26 °C,16 °C,—,0 mm,38.9 km/h,—,1013 hPa,54 %
2023-08-08 17:00:00,26 °C,16 °C,—,0 mm,40.7 km/h,—,1013 hPa,54 %
2023-08-07 12:00:00,28.5 °C,20.5 °C,—,0 mm,14.8 km/h,—,1009.5 hPa,62 %
2023-08-07 13:00:00,29 °C,19 °C,—,0 mm,13 km/h,—,1009 hPa,55 %
2023-08-07 14:00:00,29 °C,21 °C,—,0 mm,14.8 km/h,—,1009 hPa,62 %
2023-08-07 15:00:00,29.5 °C,18.6 °C,—,0 mm,13 km/h,—,1009.2 hPa,52 %
2023-08-07 16:00:00,31 °C,18 °C,—,0 mm,18.4 km/h,—,1009 hPa,46 %
2023-08-07 17:00:00,31 °C,19 °C,—,0 mm,22 km/h,—,1008 hPa,49 %
2023-08-06 12:00:00,30.1 °C,20.1 °C,—,0 mm,14.8 km/h,—,1002.7 hPa,55 %
2023-08-06 13:00:00,32 °C,17.9 °C,—,0 mm,22.3 km/h,—,1002 hPa,43 %
2023-08-06 14:00:00,33 °C,18 °C,—,0 mm,22.3 km/h,—,1001 hPa,41 %
2023-08-06 15:00:00,33.2 °C,17 °C,—,0 mm,22.3 km/h,—,1001.5 hPa,38 %
2023-08-06 16:00:00,33 °C,20.9 °C,—,0 mm,40.7 km/h,—,1002 hPa,49 %
2023-08-06 17:00:00,31 °C,20 °C,—,0 mm,31.7 km/h,—,1002 hPa,52 %
2023-08-05 12:00:00,28.5 °C,21.8 °C,—,0 mm,11.2 km/h,—,1007.2 hPa,67 %
2023-08-05 13:00:00,28 °C,22 °C,—,0 mm,16.6 km/h,—,1006 hPa,70 %
2023-08-05 14:00:00,28 °C,22.9 °C,—,0 mm,20.5 km/h,—,1006 hPa,74 %
2023-08-05 15:00:00,33.2 °C,21.1 °C,—,0 mm,11.2 km/h,—,1006 hPa,49 %
2023-08-05 16:00:00,34 °C,21.1 °C,—,0 mm,24.1 km/h,—,1005 hPa,47 %
2023-08-05 17:00:00,33 °C,19.1 °C,—,0 mm,22.3 km/h,—,1004 hPa,44 %
2023-08-04 12:00:00,35.6 °C,14.8 °C,—,0 mm,22.3 km/h,—,1010.5 hPa,29 %
2023-08-04 13:00:00,36 °C,17.2 °C,—,0 mm,24.1 km/h,—,1010 hPa,33 %
2023-08-04 14:00:00,37 °C,16 °C,—,0 mm,27.7 km/h,—,1010 hPa,29 %
2023-08-04 15:00:00,37 °C,15.5 °C,—,0 mm,29.5 km/h,—,1010 hPa,28 %
2023-08-04 16:00:00,37 °C,17.1 °C,—,0 mm,29.5 km/h,—,1009 hPa,31 %
2023-08-04 17:00:00,36 °C,15.2 °C,—,0 mm,37.1 km/h,—,1009 hPa,29 %
