DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-10-10 02:00:00,21 °C,18 °C,—,0 mm,28 km/h,—,1011 hPa,83 %
2024-10-10 03:00:00,21.4 °C,18.4 °C,—,0 mm,24 km/h,—,1011.4 hPa,83 %
2024-10-10 04:00:00,21 °C,18 °C,—,0 mm,13 km/h,—,1011 hPa,83 %
2024-10-10 05:00:00,21 °C,16 °C,—,0 mm,13 km/h,—,1011 hPa,73 %
2024-10-09 01:00:00,18 °C,11.1 °C,—,0 mm,7 km/h,—,1016 hPa,64 %
2024-10-09 02:00:00,18 °C,11.1 °C,—,0 mm,9 km/h,—,1016 hPa,64 %
2024-10-09 03:00:00,17.1 °C,11.4 °C,—,0 mm,9 km/h,—,1015.9 hPa,69 %
2024-10-09 04:00:00,17 °C,11.9 °C,—,0 mm,7 km/h,—,1015 hPa,72 %
2024-10-09 05:00:00,17 °C,11.1 °C,—,0 mm,4 km/h,—,1015 hPa,68 %
2024-10-08 01:00:00,17 °C,14.1 °C,—,0 mm,15 km/h,—,1020 hPa,83 %
2024-10-08 02:00:00,17 °C,14.1 °C,—,0 mm,15 km/h,—,1020 hPa,83 %
2024-10-08 03:00:00,17 °C,13.7 °C,—,0 mm,15 km/h,—,1020 hPa,81 %
2024-10-08 04:00:00,16 °C,12.9 °C,—,0 mm,13 km/h,—,1020 hPa,82 %
2024-10-08 05:00:00,16 °C,12.9 °C,—,0 mm,13 km/h,—,1020 hPa,82 %
2024-10-07 01:00:00,20 °C,18 °C,—,0.4 mm,9 km/h,—,1011 hPa,88 %
2024-10-07 02:00:00,20 °C,18 °C,—,0.1 mm,6 km/h,—,1011 hPa,88 %
2024-10-07 03:00:00,19.6 °C,17.6 °C,—,0 mm,5 km/h,—,1010.9 hPa,88 %
2024-10-07 04:00:00,19 °C,17 °C,—,0 mm,15 km/h,—,1011 hPa,88 %
